Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 2	Serie N.º 2	Serie N.º 2	Serie N.º 3	Serie N.º 3	Serie N.º 3	Serie N.º 4	Serie N.º 4	Serie N.º 4	Serie N.º 5	Serie N.º 5	Serie N.º 5	Serie N.º 6	Serie N.º 6	Serie N.º 6	Serie N.º 7	Serie N.º 7	Serie N.º 7	Serie N.º 8	Serie N.º 8	Serie N.º 8	Serie N.º 9	Serie N.º 9	Serie N.º 9
Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)
90,550	-0,26	0,004				362,200	-0,23	8,972E-4																		
90,575	-0,38	-0,003				362,300	-0,23	8,903E-4																		
90,600	-0,34	0,005				362,400	-0,23	8,899E-4																		
90,625	-0,29	-0,003				362,500	-0,23	9,047E-4																		
90,650	-0,45	0,004				362,600	-0,23	9,033E-4																		
90,675	-0,25	-0,003				362,700	-0,23	9,192E-4																		
90,700	-0,34	0,004				362,800	-0,23	8,979E-4																		
90,725	-0,39	-0,003				362,900	-0,23	9,246E-4																		
90,750	-0,31	0,004				363,000	-0,23	8,962E-4																		
90,775	-0,34	-0,003				363,100	-0,23	9,379E-4																		
90,800	-0,32	0,004				363,200	-0,23	9,204E-4																		
90,825	-0,36	-0,003				363,300	-0,24	8,696E-4																		
90,850	-0,33	0,004				363,400	-0,22	9,113E-4																		
90,875	-0,33	-0,003				363,500	-0,23	8,857E-4																		
90,900	-0,35	0,004				363,600	-0,23	8,878E-4																		
90,925	-0,34	-0,003				363,700	-0,23	9,022E-4																		
90,950	-0,35	0,004				363,800	-0,23	8,733E-4																		
90,975	-0,29	-0,003				363,900	-0,23	9,038E-4																		
91,000	-0,38	0,004				364,000	-0,23	8,895E-4																		
91,025	-0,36	-0,003				364,100	-0,23	8,690E-4																		
91,050	-0,28	0,004				364,200	-0,23	9,058E-4																		
91,075	-0,37	-0,003				364,300	-0,23	8,829E-4																		
91,100	-0,35	0,004				364,400	-0,23	9,146E-4																		
91,125	-0,32	-0,003				364,500	-0,23	9,417E-4																		
91,150	-0,39	0,004				364,600	-0,24	9,409E-4																		
91,175	-0,28	-0,003				364,700	-0,22	8,889E-4																		
91,200	-0,37	0,004				364,800	-0,24	9,031E-4																		
91,225	-0,38	-0,003				364,900	-0,23	9,252E-4																		
91,250	-0,27	0,004				365,000	-0,23	8,673E-4																		
91,275	-0,39	-0,003				365,100	-0,23	8,947E-4																		
91,300	-0,33	0,004				365,200	-0,23	9,249E-4																		
91,325	-0,31	-0,003				365,300	-0,23	8,875E-4																		
91,350	-0,40	0,004				365,400	-0,23	9,332E-4																		
91,375	-0,33	-0,003				365,500	-0,23	9,000E-4																		
91,400	-0,29	0,004				365,600	-0,23	9,045E-4																		
91,425	-0,38	-0,003				365,700	-0,23	8,610E-4																		
91,450	-0,34	0,004				365,800	-0,23	8,763E-4																		
91,475	-0,32	-0,003				365,900	-0,23	9,156E-4																		
91,500	-0,37	0,004				366,000	-0,23	9,320E-4																		
91,525	-0,31	-0,003				366,100	-0,23	9,248E-4																		
91,550	-0,33	0,005				366,200	-0,23	9,243E-4																		
91,575	-0,37	-0,003				366,300	-0,23	9,369E-4																		
91,600	-0,34	0,004				366,400	-0,23	9,457E-4																		
91,625	-0,33	-0,003				366,500	-0,23	9,604E-4																		
91,650	-0,38	0,004				366,600	-0,23	9,492E-4																		
91,675	-0,23	-0,003				366,700	-0,23	9,078E-4																		
91,700	-0,41	0,004				366,800	-0,23	9,606E-4																		
91,725	-0,38	-0,003				366,900	-0,23	9,777E-4																		
91,750	-0,24	0,004				367,000	-0,23	9,746E-4																		
91,775	-0,39	-0,003				367,100	-0,23	9,744E-4																		
91,800	-0,30	0,004				367,200	-0,23	9,402E-4																		
91,825	-0,35	-0,003				367,300	-0,23	9,675E-4																		
91,850	-0,39	0,004				367,400	-0,23	9,469E-4																		
91,875	-0,30	-0,003				367,500	-0,23	9,926E-4																		
91,900	-0,28	0,004				367,600	-0,23	0,001																		
91,925	-0,40	-0,002				367,700	-0,23	9,296E-4																		
91,950	-0,35	0,004				367,800	-0,23	9,703E-4																		
91,975	-0,30	-0,003				367,900	-0,23	9,564E-4																		
92,000	-0,39	0,004				368,000	-0,23	8,983E-4																		
92,025	-0,28	-0,003				368,100	-0,23	9,393E-4																		
92,050	-0,38	0,004				368,200	-0,23	9,325E-4																		
92,075	-0,38	-0,003				368,300	-0,23	9,250E-4																		
92,100	-0,29	0,004				368,400	-0,23	9,755E-4																		
92,125	-0,34	-0,003				368,500	-0,23	9,310E-4																		
92,150	-0,32	0,004				368,600	-0,23	9,746E-4																		
92,175	-0,39	-0,003				368,700	-0,23	9,258E-4																		
92,200	-0,35	0,004				368,800	-0,23	8,873E-4																		
92,225	-0,29	-0,003				368,900	-0,23	9,111E-4																		
92,250	-0,34	0,004				369,000	-0,23	9,094E-4																		
92,275	-0,36	-0,003				369,100	-0,23	9,296E-4																		
92,300	-0,34	0,004				369,200	-0,23	8,770E-4																		
92,325	-0,37	-0,003				369,300	-0,23	8,771E-4																		
92,350	-0,28	0,004				369,400	-0,23	9,191E-4																		
92,375	-0,33	-0,002				369,500	-0,23	9,192E-4																		
92,400	-0,40	0,004				369,600	-0,23	8,721E-4																		
92,425	-0,32	-0,002				369,700	-0,23	8,723E-4																		
92,450	-0,33	0,005				369,800	-0,23	8,850E-4																		
92,475	-0,36	-0,002				369,900	-0,23	9,231E-4																		
92,500	-0,29	0,004				370,000	-0,23	9,213E-4																		
92,525	-0,40	-0,003				370,100	-0,23	8,889E-4																		
92,550	-0,33	0,004				370,200	-0,23	9,117E-4																		
92,575	-0,33	-0,003				370,300	-0,23	9,044E-4																		
92,600	-0,36	0,004				370,400	-0,23	9,672E-4																		
92,625	-0,29	-0,003				370,500	-0,23	9,021E-4																		
92,650	-0,37	0,004				370,600	-0,23	8,810E-4																		
92,675	-0,39	-0,003				370,700	-0,23	8,584E-4																		
92,700	-0,30	0,004				370,800	-0,23	9,058E-4																		
92,725	-0,34	-0,003				370,900	-0,23	8,993E-4																		
92,750	-0,33	0,004				371,000	-0,23	8,936E-4																		
92,775	-0,32	-0,003				371,100	-0,23	9,523E-4																		
92,800	-0,38	0,004				371,200	-0,23	8,827E-4																		
92,825	-0,35	-0,003				371,300	-0,23	9,045E-4																		
92,850	-0,31	0,004				371,400	-0,23	8,619E-4																		
92,875	-0,35	-0,002				371,500	-0,23	8,796E-4																		
92,900	-0,33	0,005				371,600	-0,23	9,081E-4																		
92,925	-0,35	-0,001				371,700	-0,23	8,778E-4																		
92,950	-0,36	0,006				371,800	-0,23	9,226E-4																		
92,975	-0,31	-7,129E-4				371,900	-0,23	9,393E-4																		
93,000	-0,34	0,007				372,000	-0,23	8,855E-4																		
93,025	-0,36	-0,001				372,100	-0,23	9,003E-4																		
93,050	-0,33	0,004				372,200	-0,23	8,824E-4																		
93,075	-0,35	-0,002				372,300	-0,23	8,945E-4																		
93,100	-0,34	0,004				372,400	-0,23	8,937E-4																		
93,125	-0,32	-0,002				372,500	-0,23	9,028E-4																		
93,150	-0,36	0,004				372,600	-0,23	9,348E-4																		
93,175	-0,34	-0,003				372,700	-0,23	9,061E-4																		
93,200	-0,33	0,003				372,800	-0,23	8,977E-4																		
93,225	-0,35	-0,004				372,900	-0,23	9,117E-4																		
93,250	-0,32	0,003				373,000	-0,23	9,067E-4																		
93,275	-0,34	-0,005				373,100	-0,23	8,533E-4																		
93,300	-0,37	0,002				373,200	-0,23	8,938E-4																		
93,325	-0,30	-0,004				373,300	-0,23	8,673E-4																		
93,350	-0,36	0,003				373,400	-0,23	8,949E-4																		
93,375	-0,31	-0,004				373,500	-0,23	9,028E-4																		
93,400	-0,37	0,004				373,600	-0,23	8,921E-4																		
93,425	-0,37	-0,003				373,700	-0,23	8,995E-4																		
93,450	-0,29	0,004				373,800	-0,23	8,801E-4																		
93,475	-0,33	-0,003				373,900	-0,23	8,987E-4																		
93,500	-0,36	0,004				374,000	-0,23	8,859E-4																		
93,525	-0,32	-0,003				374,100	-0,23	8,798E-4																		
93,550	-0,37	0,004				374,200	-0,23	8,993E-4																		
93,575	-0,34	-0,003				374,300	-0,23	9,014E-4																		
93,600	-0,30	0,004				374,400	-0,23	9,320E-4																		
93,625	-0,35	-0,002				374,500	-0,23	9,592E-4																		
93,650	-0,35	0,005				374,600	-0,23	9,086E-4																		
93,675	-0,38	-0,002				374,700	-0,23	9,396E-4																		
93,700	-0,30	0,005				374,800	-0,23	9,637E-4																		
93,725	-0,32	-0,002				374,900	-0,23	8,888E-4																		
93,750	-0,36	0,004				375,000	-0,23	8,955E-4																		
93,775	-0,35	-0,004				375,100	-0,23	9,427E-4																		
93,800	-0,35	-0,001				375,200	-0,23	9,612E-4																		
93,825	-0,31	-0,003				375,300	-0,23	9,116E-4																		
93,850	-0,35	0,004				375,400	-0,23	9,425E-4																		
93,875	-0,31	-0,003				375,500	-0,23	9,313E-4																		
93,900	-0,35	0,004				375,600	-0,23	9,520E-4																		
93,925	-0,41	-0,003				375,700	-0,23	9,536E-4																		
93,950	-0,26	0,004				375,800	-0,23	9,310E-4																		
93,975	-0,34	-0,003				375,900	-0,23	9,314E-4																		
94,000	-0,36	0,004				376,000	-0,23	9,319E-4																		
94,025	-0,34	-0,003				376,100	-0,23	9,532E-4																		
94,050	-0,34	0,004				376,200	-0,23	9,548E-4																		
94,075	-0,34	-0,003				376,300	-0,23	9,640E-4																		
94,100	-0,31	0,004				376,400	-0,23	9,185E-4																		
94,125	-0,36	-0,003				376,500	-0,23	9,360E-4																		
94,150	-0,35	0,004				376,600	-0,23	9,257E-4																		
94,175	-0,34	-0,003				376,700	-0,23	9,457E-4																		
94,200	-0,35	0,004				376,800	-0,23	9,351E-4																		
94,225	-0,31	-0,003				376,900	-0,23	9,281E-4																		
94,250	-0,34	0,004				377,000	-0,23	9,028E-4																		
94,275	-0,38	-0,003				377,100	-0,23	9,292E-4																		
94,300	-0,31	0,004				377,200	-0,23	9,283E-4																		
94,325	-0,32	-0,003				377,300	-0,23	8,691E-4																		
94,350	-0,35	0,004				377,400	-0,23	9,006E-4																		
94,375	-0,34	-0,003				377,500	-0,23	9,170E-4																		
94,400	-0,36	0,004				377,600	-0,23	9,152E-4																		
94,425	-0,31	-0,003				377,700	-0,23	9,409E-4																		
94,450	-0,35	0,004				377,800	-0,23	9,232E-4																		
94,475	-0,33	-0,003				377,900	-0,23	9,181E-4																		
94,500	-0,33	0,004				378,000	-0,23	8,860E-4																		
94,525	-0,36	-0,003				378,100	-0,23	9,072E-4																		
94,550	-0,35	0,004				378,200	-0,23	8,981E-4																		
94,575	-0,31	-0,003				378,300	-0,23	8,862E-4																		
94,600	-0,33	0,005				378,400	-0,23	9,373E-4																		
94,625	-0,38	-0,003				378,500	-0,23	9,207E-4																		
94,650	-0,34	0,004				378,600	-0,23	9,185E-4																		
94,675	-0,33	-0,003				378,700	-0,23	8,955E-4																		
94,700	-0,34	0,004				378,800	-0,23	8,875E-4																		
94,725	-0,28	-0,003				378,900	-0,23	8,833E-4																		
94,750	-0,42	0,004				379,000	-0,23	8,717E-4																		
94,775	-0,33	-0,003				379,100	-0,23	8,693E-4																		
94,800	-0,30	0,004				379,200	-0,23	9,292E-4																		
94,825	-0,37	-0,003				379,300	-0,23	8,682E-4																		
94,850	-0,31	0,004				379,400	-0,23	8,750E-4																		
94,875	-0,35	-0,003				379,500	-0,23	8,824E-4																		
94,900	-0,38	0,004				379,600	-0,23	8,240E-4																		
94,925	-0,31	-0,003				379,700	-0,23	8,989E-4																		
94,950	-0,34	0,004				379,800	-0,23	8,993E-4																		
94,975	-0,34	-0,003				379,900	-0,23	8,656E-4																		
95,000	-0,35	0,004				380,000	-0,23	9,000E-4																		
95,025	-0,32	-0,003				380,100	-0,23	8,776E-4																		
95,050	-0,39	0,004				380,200	-0,23	8,905E-4																		
95,075	-0,29	-0,003				380,300	-0,23	8,682E-4																		
95,100	-0,34	0,004				380,400	-0,23	9,207E-4																		
95,125	-0,38	-0,003				380,500	-0,23	9,406E-4																		
95,150	-0,31	0,005				380,600	-0,23	8,820E-4																		
95,175	-0,35	-0,003				380,700	-0,23	8,624E-4																		
95,200	-0,36	0,004				380,800	-0,23	9,137E-4																		
95,225	-0,31	-0,003				380,900	-0,23	9,088E-4																		
95,250	-0,39	0,004				381,000	-0,23	8,790E-4																		
95,275	-0,26	-0,003				381,100	-0,23	8,831E-4																		
95,300	-0,42	0,004				381,200	-0,23	8,989E-4																		
95,325	-0,33	-0,003				381,300	-0,23	8,792E-4																		
95,350	-0,29	0,004				381,400	-0,23	8,910E-4																		
95,375	-0,38	-0,003				381,500	-0,23	9,060E-4																		
95,400	-0,34	0,005				381,600	-0,23	9,097E-4																		
95,425	-0,30	-0,003				381,700	-0,23	8,873E-4																		
95,450	-0,37	0,004				381,800	-0,23	8,960E-4																		
95,475	-0,33	-0,003				381,900	-0,23	9,138E-4																		
95,500	-0,38	0,004				382,000	-0,23	9,261E-4																		
95,525	-0,26	-0,003				382,100	-0,23	9,004E-4																		
95,550	-0,41	0,004				382,200	-0,23	8,928E-4																		
95,575	-0,34	-0,003				382,300	-0,23	8,944E-4																		
95,600	-0,30	0,004				382,400	-0,23	9,518E-4																		
95,625	-0,36	-0,003				382,500	-0,23	8,871E-4																		
95,650	-0,34	0,005				382,600	-0,23	8,881E-4																		
95,675	-0,35	-0,003				382,700	-0,23	8,745E-4																		
95,700	-0,31	0,005				382,800	-0,23	8,710E-4																		
95,725	-0,37	-0,003				382,900	-0,23	8,922E-4																		
95,750	-0,32	0,005				383,000	-0,23	9,138E-4																		
95,775	-0,34	-0,003				383,100	-0,23	9,213E-4																		
95,800	-0,38	0,004				383,200	-0,23	8,893E-4																		
95,825	-0,29	-0,003				383,300	-0,23	9,421E-4																		
95,850	-0,36	0,004				383,400	-0,23	9,050E-4																		
95,875	-0,33	-0,003				383,500	-0,23	9,071E-4																		
95,900	-0,36	0,004				383,600	-0,23	9,148E-4																		
95,925	-0,36	-0,003				383,700	-0,23	9,255E-4																		
95,950	-0,30	0,004				383,800	-0,23	9,270E-4																		
95,975	-0,34	-0,003				383,900	-0,23	8,752E-4																		
96,000	-0,34	0,004				384,000	-0,23	9,020E-4																		
96,025	-0,36	-0,003				384,100	-0,23	8,892E-4																		
96,050	-0,34	0,004				384,200	-0,23	8,920E-4																		
96,075	-0,32	-0,003				384,300	-0,23	8,928E-4																		
96,100	-0,33	0,005				384,400	-0,23	9,248E-4																		
96,125	-0,35	-0,002				384,500	-0,23	9,171E-4																		
96,150	-0,37	0,005				384,600	-0,23	9,219E-4																		
96,175	-0,32	-0,002				384,700	-0,23	8,412E-4																		
96,200	-0,34	0,006				384,800	-0,23	8,729E-4																		
96,225	-0,30	-0,001				384,900	-0,23	8,788E-4																		
96,250	-0,36	0,007				385,000	-0,23	8,838E-4																		
96,275	-0,39	-2,954E-4				385,100	-0,23	8,759E-4																		
96,300	-0,29	0,006				385,200	-0,23	8,816E-4																		
96,325	-0,38	-0,002				385,300	-0,23	9,023E-4																		
96,350	-0,26	0,004				385,400	-0,23	8,794E-4																		
96,375	-0,39	-0,004				385,500	-0,23	8,784E-4																		
96,400	-0,40	0,002				385,600	-0,24	8,662E-4																		
96,425	-0,24	-0,005				385,700	-0,22	8,988E-4																		
96,450	-0,40	0,003				385,800	-0,23	8,967E-4																		
96,475	-0,33	-0,004				385,900	-0,22	8,959E-4																		
96,500	-0,32	0,003				386,000	-0,24	9,812E-4																		
96,525	-0,39	-0,004				386,100	-0,22	8,706E-4																		
96,550	-0,32	0,004				386,200	-0,23	8,879E-4																		
96,575	-0,33	-0,004				386,300	-0,23	9,279E-4																		
96,600	-0,33	0,004				386,400	-0,23	8,937E-4																		
96,625	-0,36	-0,003				386,500	-0,23	8,827E-4																		
96,650	-0,35	0,005				386,600	-0,22	9,089E-4																		
96,675	-0,41	-0,003				386,700	-0,24	8,772E-4																		
96,700	-0,16	0,005				386,800	-0,23	8,717E-4																		
96,725	-0,40	-0,003				386,900	-0,23	8,698E-4																		
96,750	-0,50	0,005				387,000	-0,23	8,918E-4																		
96,775	-0,16	-0,003				387,100	-0,23	8,898E-4																		
96,800	-0,38	0,005				387,200	-0,23	8,983E-4																		
96,825	-0,40	-0,003				387,300	-0,23	8,514E-4																		
96,850	-0,25	0,005				387,400	-0,23	9,003E-4																		
96,875	-0,43	-0,003				387,500	-0,23	9,076E-4																		
96,900	-0,30	0,005				387,600	-0,23	8,810E-4																		
96,925	-0,30	-0,003				387,700	-0,22	8,641E-4																		
96,950	-0,41	0,005				387,800	-0,24	9,193E-4																		
96,975	-0,29	-0,003				387,900	-0,23	9,230E-4																		
97,000	-0,38	0,005				388,000	-0,23	9,119E-4																		
97,025	-0,35	-0,003				388,100	-0,23	8,772E-4																		
97,050	-0,26	0,005				388,200	-0,23	8,723E-4																		
97,075	-0,38	-0,004				388,300	-0,23	8,630E-4																		
97,100	-0,40	0,005				388,400	-0,23	8,633E-4																		
97,125	-0,30	-0,003				388,500	-0,23	8,597E-4																		
97,150	-0,33	0,005				388,600	-0,23	8,622E-4																		
97,175	-0,33	-0,004				388,700	-0,23	9,034E-4																		
97,200	-0,34	0,005				388,800	-0,23	9,242E-4																		
97,225	-0,41	-0,004				388,900	-0,23	9,058E-4																		
97,250	-0,31	0,005				389,000	-0,23	8,973E-4																		
97,275	-0,29	-0,003				389,100	-0,23	8,818E-4																		
97,300	-0,36	0,005				389,200	-0,23	8,777E-4																		
97,325	-0,32	-0,004				389,300	-0,23	9,104E-4																		
97,350	-0,39	0,005				389,400	-0,23	8,743E-4																		
97,375	-0,37	-0,004				389,500	-0,23	9,215E-4																		
97,400	-0,26	0,005				389,600	-0,23	8,551E-4																		
97,425	-0,34	-0,004				389,700	-0,23	8,435E-4																		
97,450	-0,35	0,005				389,800	-0,23	8,395E-4																		
97,475	-0,36	-0,004				389,900	-0,23	8,721E-4																		
97,500	-0,37	0,005				390,000	-0,23	8,502E-4																		
97,525	-0,30	-0,004				390,100	-0,23	8,466E-4																		
97,550	-0,31	0,005				390,200	-0,23	8,501E-4																		
97,575	-0,37	-0,004				390,300	-0,23	8,584E-4																		
97,600	-0,36	0,005				390,400	-0,23	8,690E-4																		
97,625	-0,35	-0,004				390,500	-0,23	8,618E-4																		
97,650	-0,34	0,005				390,600	-0,23	8,829E-4																		
97,675	-0,29	-0,004				390,700	-0,23	8,611E-4																		
97,700	-0,35	0,005				390,800	-0,23	8,499E-4																		
97,725	-0,39	-0,004				390,900	-0,23	8,569E-4																		
97,750	-0,32	0,005				391,000	-0,23	8,733E-4																		
97,775	-0,35	-0,004				391,100	-0,23	8,707E-4																		
97,800	-0,32	0,005				391,200	-0,23	8,854E-4																		
97,825	-0,33	-0,004				391,300	-0,23	9,003E-4																		
97,850	-0,37	0,005				391,400	-0,23	9,003E-4																		
97,875	-0,34	-0,003				391,500	-0,23	9,125E-4																		
97,900	-0,32	0,005				391,600	-0,23	8,881E-4																		
97,925	-0,34	-0,004				391,700	-0,23	9,049E-4																		
97,950	-0,35	0,005				391,800	-0,23	8,909E-4																		
97,975	-0,35	-0,004				391,900	-0,23	9,215E-4																		
98,000	-0,34	0,005				392,000	-0,23	9,059E-4																		
98,025	-0,32	-0,004				392,100	-0,23	9,041E-4																		
98,050	-0,34	0,005				392,200	-0,23	9,302E-4																		
98,075	-0,36	-0,004				392,300	-0,23	9,534E-4																		
98,100	-0,33	0,005				392,400	-0,23	9,510E-4																		
98,125	-0,33	-0,004				392,500	-0,23	9,614E-4																		
98,150	-0,34	0,005				392,600	-0,23	9,370E-4																		
98,175	-0,33	-0,004				392,700	-0,23	9,315E-4																		
98,200	-0,37	0,005				392,800	-0,23	9,240E-4																		
98,225	-0,34	-0,003				392,900	-0,23	8,862E-4																		
98,250	-0,32	0,005				393,000	-0,23	9,042E-4																		
98,275	-0,33	-0,004				393,100	-0,23	8,809E-4																		
98,300	-0,35	0,005				393,200	-0,22	9,014E-4																		
98,325	-0,36	-0,004				393,300	-0,27	8,749E-4																		
98,350	-0,34	0,005				393,400	-0,17	9,266E-4																		
98,375	-0,32	-0,004				393,500	-0,27	8,855E-4																		
98,400	-0,32	0,005				393,600	-0,21	8,812E-4																		
98,425	-0,35	-0,004				393,700	-0,24	8,842E-4																		
98,450	-0,36	0,005				393,800	-0,22	8,690E-4																		
98,475	-0,35	-0,004				393,900	-0,23	9,285E-4																		
98,500	-0,32	0,005				394,000	-0,24	8,853E-4																		
98,525	-0,32	-0,004				394,100	-0,22	8,628E-4																		
98,550	-0,34	0,005				394,200	-0,24	8,363E-4																		
98,575	-0,39	-0,004				394,300	-0,22	8,649E-4																		
98,600	-0,33	0,005				394,400	-0,24	8,811E-4																		
98,625	-0,32	-0,004				394,500	-0,22	8,386E-4																		
98,650	-0,33	0,005				394,600	-0,24	8,907E-4																		
98,675	-0,34	-0,004				394,700	-0,22	8,640E-4																		
98,700	-0,36	0,005				394,800	-0,23	8,839E-4																		
98,725	-0,35	-0,004				394,900	-0,23	9,117E-4																		
98,750	-0,32	0,005				395,000	-0,23	9,055E-4																		
98,775	-0,32	-0,004				395,100	-0,23	8,969E-4																		
98,800	-0,36	0,005				395,200	-0,22	8,937E-4																		
98,825	-0,35	-0,004				395,300	-0,23	8,485E-4																		
98,850	-0,34	0,005				395,400	-0,23	8,688E-4																		
98,875	-0,33	-0,004				395,500	-0,23	8,867E-4																		
98,900	-0,33	0,005				395,600	-0,23	9,238E-4																		
98,925	-0,35	-0,004				395,700	-0,23	8,917E-4																		
98,950	-0,35	0,005				395,800	-0,23	8,829E-4																		
98,975	-0,34	-0,004				395,900	-0,23	8,669E-4																		
99,000	-0,33	0,005				396,000	-0,22	9,000E-4																		
99,025	-0,33	-0,004				396,100	-0,23	9,016E-4																		
99,050	-0,35	0,005				396,200	-0,23	8,884E-4																		
99,075	-0,36	-0,004				396,300	-0,23	9,037E-4																		
99,100	-0,33	0,005				396,400	-0,23	8,630E-4																		
99,125	-0,33	-0,004				396,500	-0,23	9,287E-4																		
99,150	-0,34	0,005				396,600	-0,23	9,502E-4																		
99,175	-0,35	-0,004				396,700	-0,23	8,856E-4																		
99,200	-0,35	0,005				396,800	-0,23	9,148E-4																		
99,225	-0,33	-0,004				396,900	-0,23	8,865E-4																		
99,250	-0,33	0,005				397,000	-0,23	8,799E-4																		
99,275	-0,34	-0,004				397,100	-0,23	9,655E-4																		
99,300	-0,36	0,005				397,200	-0,23	9,142E-4																		
99,325	-0,35	-0,004				397,300	-0,23	9,171E-4																		
99,350	-0,32	0,005				397,400	-0,23	8,915E-4																		
99,375	-0,33	-0,004				397,500	-0,23	9,265E-4																		
99,400	-0,35	0,005				397,600	-0,23	8,945E-4																		
99,425	-0,35	-0,004				397,700	-0,23	9,177E-4																		
99,450	-0,35	0,005				397,800	-0,23	8,765E-4																		
99,475	-0,34	-0,004				397,900	-0,23	8,790E-4																		
99,500	-0,32	0,005				398,000	-0,23	9,001E-4																		
99,525	-0,35	-0,004				398,100	-0,23	9,260E-4																		
99,550	-0,35	0,005				398,200	-0,23	9,219E-4																		
99,575	-0,35	-0,004				398,300	-0,23	9,257E-4																		
99,600	-0,32	0,005				398,400	-0,23	9,016E-4																		
99,625	-0,37	-0,004				398,500	-0,23	8,961E-4																		
99,650	-0,28	0,005				398,600	-0,23	8,881E-4																		
99,675	-0,33	-0,004				398,700	-0,23	9,183E-4																		
99,700	-0,46	0,005				398,800	-0,23	8,812E-4																		
99,725	-0,24	-0,004				398,900	-0,23	9,277E-4																		
99,750	-0,34	0,005				399,000	-0,23	8,959E-4																		
99,775	-0,39	-0,004				399,100	-0,23	8,632E-4																		
99,800	-0,31	0,005				399,200	-0,23	8,502E-4																		
99,825	-0,36	-0,004				399,300	-0,23	8,771E-4																		
99,850	-0,35	0,005				399,400	-0,23	8,456E-4																		
99,875	-0,29	-0,004				399,500	-0,22	8,497E-4																		
99,900	-0,38	0,005				399,600	-0,23	8,601E-4																		
99,925	-0,35	-0,004				399,700	-0,23	8,889E-4																		
99,950	-0,33	0,005				399,800	-0,23	8,918E-4																		
99,975	-0,33	-0,004				399,900	-0,22	9,031E-4																		
100,000	-0,33	0,005				400,000	-0,23	8,959E-4																		
100,025	-0,35	-0,004				400,100	-0,23	8,723E-4																		
100,050	-0,38	0,005				400,200	-0,23	8,937E-4																		
100,075	-0,31	-0,004				400,300	-0,23	9,436E-4																		
100,100	-0,32	0,005				400,400	-0,23	9,109E-4																		
100,125	-0,37	-0,004				400,500	-0,23	9,373E-4																		
100,150	-0,33	0,005				400,600	-0,23	8,839E-4																		
100,175	-0,34	-0,004				400,700	-0,23	9,033E-4																		
100,200	-0,39	0,005				400,800	-0,23	9,312E-4																		
100,225	-0,25	-0,004				400,900	-0,23	8,889E-4																		
100,250	-0,43	0,006				401,000	-0,22	8,915E-4																		
100,275	-0,21	-0,003				401,100	-0,23	8,810E-4																		
100,300	-0,44	0,005				401,200	-0,23	8,704E-4																		
100,325	-0,42	-0,004				401,300	-0,22	8,950E-4																		
100,350	-0,15	0,005				401,400	-0,23	8,990E-4																		
100,375	-0,43	-0,004				401,500	-0,23	8,755E-4																		
100,400	-0,37	0,005				401,600	-0,23	8,569E-4																		
100,425	-0,27	-0,004				401,700	-0,23	9,136E-4																		
100,450	-0,43	0,005				401,800	-0,23	8,961E-4																		
100,475	-0,30	-0,004				401,900	-0,23	9,070E-4																		
100,500	-0,27	0,005				402,000	-0,23	8,998E-4																		
100,525	-0,43	-0,004				402,100	-0,22	8,949E-4																		
100,550	-0,34	0,005				402,200	-0,23	9,166E-4																		
100,575	-0,33	-0,004				402,300	-0,22	9,180E-4																		
100,600	-0,35	0,005				402,400	-0,23	9,371E-4																		
100,625	-0,28	-0,004				402,500	-0,23	8,945E-4																		
100,650	-0,37	0,005				402,600	-0,23	8,905E-4																		
100,675	-0,41	-0,004				402,700	-0,23	9,280E-4																		
100,700	-0,26	0,005				402,800	-0,23	9,446E-4																		
100,725	-0,36	-0,004				402,900	-0,23	9,109E-4																		
100,750	-0,34	0,005				403,000	-0,23	9,189E-4																		
100,775	-0,30	-0,004				403,100	-0,23	9,257E-4																		
100,800	-0,44	0,005				403,200	-0,23	9,313E-4																		
100,825	-0,31	-0,004				403,300	-0,23	9,069E-4																		
100,850	-0,27	0,005				403,400	-0,23	9,066E-4																		
100,875	-0,38	-0,004				403,500	-0,23	8,842E-4																		
100,900	-0,33	0,005				403,600	-0,23	8,733E-4																		
100,925	-0,36	-0,004				403,700	-0,22	8,900E-4																		
100,950	-0,37	0,005				403,800	-0,24	8,956E-4																		
100,975	-0,27	-0,004				403,900	-0,22	8,807E-4																		
101,000	-0,34	0,005				404,000	-0,23	9,048E-4																		
101,025	-0,39	-0,004				404,100	-0,23	9,281E-4																		
101,050	-0,32	0,005				404,200	-0,23	9,519E-4																		
101,075	-0,35	-0,004				404,300	-0,23	9,216E-4																		
101,100	-0,33	0,005				404,400	-0,23	9,263E-4																		
101,125	-0,29	-0,004				404,500	-0,23	9,214E-4																		
101,150	-0,39	0,005				404,600	-0,23	9,243E-4																		
101,175	-0,36	-0,004				404,700	-0,23	9,031E-4																		
101,200	-0,30	0,005				404,800	-0,23	8,909E-4																		
101,225	-0,36	-0,004				404,900	-0,23	9,263E-4																		
